"plate.name","well","value"
"PeakallTest","B09",""
"PeakallTest","B10",""
"PeakallTest","B11","CV1435"
"PeakallTest","B12",""
"PeakallTest","C01",""
"PeakallTest","C02",""
"PeakallTest","C03",""
"PeakallTest","C04",""
"PeakallTest","C05",""
"PeakallTest","C06",""
"PeakallTest","C07",""
"PeakallTest","C08",""
"PeakallTest","C09",""
"PeakallTest","C10",""
"PeakallTest","C11","CV1637"
"PeakallTest","C12",""
"PeakallTest","D01",""
"PeakallTest","D02",""
"PeakallTest","D03",""
"PeakallTest","D04",""
"PeakallTest","D05",""
"PeakallTest","D06",""
"PeakallTest","D07",""
"PeakallTest","D08",""
"PeakallTest","D09",""
"PeakallTest","D10",""
"PeakallTest","D11","CV199"
"PeakallTest","D12",""
"PeakallTest","E01",""
"PeakallTest","E02",""
"PeakallTest","E03",""
"PeakallTest","E04",""
"PeakallTest","E05",""
"PeakallTest","E06",""
"PeakallTest","E07",""
"PeakallTest","E08",""
"PeakallTest","E09",""
"PeakallTest","E10",""
"PeakallTest","E11",""
"PeakallTest","E12",""
"PeakallTest","F01",""
"PeakallTest","F02",""
"PeakallTest","F03",""
"PeakallTest","F04",""
"PeakallTest","F05",""
"PeakallTest","F06",""
"PeakallTest","F07",""
"PeakallTest","F08",""
"PeakallTest","F09",""
"PeakallTest","F10",""
"PeakallTest","F11",""
"PeakallTest","F12",""
"PeakallTest","G01",""
"PeakallTest","G02",""
"PeakallTest","G03",""
"PeakallTest","G04",""
"PeakallTest","G05",""
"PeakallTest","G06",""
"PeakallTest","G07",""
"PeakallTest","G08",""
"PeakallTest","G09",""
"PeakallTest","G10",""
"PeakallTest","G11",""
"PeakallTest","G12",""
"PeakallTest","H01",""
"PeakallTest","H02",""
"PeakallTest","H03",""
"PeakallTest","H04",""
"PeakallTest","H05",""
"PeakallTest","H06",""
"PeakallTest","H07",""
"PeakallTest","H08",""
"PeakallTest","H09",""
"PeakallTest","H10",""
"PeakallTest","H11",""
"PeakallTest","H12",""
"CleomeTest","A01",""
"CleomeTest","A02",""
"CleomeTest","A03",""
"CleomeTest","A04",""
"CleomeTest","A05",""
"CleomeTest","A06",""
"CleomeTest","A07",""
"CleomeTest","A08",""
"CleomeTest","A09",""
"CleomeTest","A10",""
"CleomeTest","A11",""
"CleomeTest","A12",""
"CleomeTest","B01",""
"CleomeTest","B02",""
"CleomeTest","B03",""
"CleomeTest","B04",""
"CleomeTest","B05",""
"CleomeTest","B06",""
"CleomeTest","B07",""
"CleomeTest","B08",""
"CleomeTest","B09",""
"CleomeTest","B10",""
"CleomeTest","B11",""
"CleomeTest","B12",""
"CleomeTest","C01",""
"CleomeTest","C02",""
"CleomeTest","C03",""
"CleomeTest","C04",""
"CleomeTest","C05",""
"CleomeTest","C06",""
"CleomeTest","C07",""
"CleomeTest","C08",""
"CleomeTest","C09",""
"CleomeTest","C10",""
"CleomeTest","C11",""
"CleomeTest","C12",""
"CleomeTest","D01",""
"CleomeTest","D02",""
"CleomeTest","D03",""
"CleomeTest","D04",""
"CleomeTest","D05",""
"CleomeTest","D06",""
"CleomeTest","D07",""
"CleomeTest","D08",""
"CleomeTest","D09",""
"CleomeTest","D10",""
"CleomeTest","D11",""
"CleomeTest","D12",""
